ticket_id,created_at,first_response_minutes,resolved_at,resolution_hours,priority,sla_frt_limit_mins,sla_resolve_limit_days,category,channel,agent,team,escalated,escalation_type,escalation_tier,reopened
TKT-0468,06-27-2024 13:46:00,32.7,2024-06-27 18:04:00,4.3,high,40,3,Technical,Chat,Agent_Jones,T1,No,,,No
TKT-0479,2024-08-24 15:02:00,5.2,,,critical,15,1,Technical,Phone,Agent_Kumar,T1,Yes,Internal,T1>T3,No
TKT-0446,20/04/2024 16:07,11.3,23/04/2024 03:55,59.8,critical,15,1,Billing,Email,Agent_Chen,T1,No,,,No
TKT-0384,02-20-2024 18:23:00,22.7,2024-02-25 01:23:00,103.0,high,40,3,Billing,Email,Agent_Patel,T1,No,,,No
TKT-0450,2024-07-21 17:03:00,,24/07/2024 07:39,62.6,low,45,7,Account,Phone,Agent_Sharma,T1,No,,,No
TKT-0227,18/04/2024 13:51,,2024-04-19 23:51:00,34.0,critical,15,1,Billing,Chat,Agent_Ali,T1,No,,,No
TKT-0113,2024-01-23 08:21:00,6.9,2024-01-23 11:09:00,2.8,critical,15,1,Account,Email,Agent_Jones,T1,No,,,No
TKT-0380,2024-03-20 14:41:00,31.9,2024-03-28 20:23:00,197.7,low,45,7,Billing,Chat,Agent_Chen,T1,No,,,No
TKT-0365,12-12-2024 18:25:00,11.1,12-13-2024 10:01:00,15.6,critical,15,1,Technical,Phone,Agent_Sharma,T2,Yes,Customer Requested,T2>T3,No
TKT-0292,09-20-2024 08:42:00,95.0,2024-09-25 12:30:00,123.8,low,45,7,Account,Email,Agent_Sharma,T1,No,,,No
TKT-0306,03-15-2024 14:12:00,7.2,03-16-2024 02:00:00,11.8,critical,15,1,Account,Portal,Agent_Ali,T2,No,,,No
TKT-0002,2024-05-20 11:14:00,14.0,05-22-2024 21:50:00,58.6,critical,15,1,Technical,Chat,Agent_Jones,T1,No,,,No
TKT-0081,25/03/2024 14:00,55.2,2024-03-29 05:54:00,87.9,high,40,3,Technical,Phone,Agent_Brown,T3,No,,,No
TKT-0266,18/12/2024 17:30,18.2,19/12/2024 07:36,14.1,high,40,3,Account,Email,Agent_Sharma,T1,No,,,No
TKT-0484,11-29-2024 11:20:00,93.9,11-30-2024 05:56:00,18.6,medium,40,3,Billing,Email,Agent_Ali,T2,Yes,Internal,T1>T3,No
TKT-0315,29/04/2024 14:02,14.2,2024-05-01 22:44:00,56.7,high,40,3,Network,Chat,Agent_Patel,T1,Yes,Internal,T2>T3,No
TKT-0219,08-10-2024 10:46:00,28.1,08-12-2024 18:16:00,55.5,medium,40,3,Billing,Phone,Agent_Ali,T1,No,,,No
TKT-0198,2024-05-22 14:16:00,26.8,25/05/2024 10:52,68.6,high,40,3,Account,Portal,Agent_Ali,T1,Yes,Internal,T1>T3,No
TKT-0461,01-11-2024 13:10:00,55.2,16/01/2024 10:28,117.3,low,45,7,Billing,Chat,Agent_Kumar,T2,No,,,No
TKT-0286,27/06/2024 14:21,34.8,2024-06-27 19:33:00,5.2,low,45,7,Hardware,Chat,Agent_Kumar,T1,No,,,No
TKT-0218,2024-11-21 15:45:00,32.3,2024-11-22 12:33:00,20.8,high,40,3,Hardware,Phone,Agent_Sharma,T1,No,,,Yes
TKT-0008,08-02-2024 11:28:00,22.9,08-03-2024 23:10:00,35.7,high,40,3,Network,Phone,Agent_Smith,T1,No,,,No
TKT-0460,01/08/2024 12:07,34.5,2024-08-03 22:07:00,58.0,low,45,7,Account,Phone,Agent_Kumar,T3,No,,,No
TKT-0023,12-15-2024 18:04:00,25.0,2024-12-21 07:10:00,133.1,low,45,7,Hardware,Portal,Agent_Jones,T2,No,,,No
TKT-0301,2024-07-27 09:14:00,24.6,08-05-2024 07:32:00,214.3,low,45,7,Account,Email,Agent_Chen,T1,No,,,No
TKT-0013,02/07/2024 13:38,25.8,2024-07-07 10:26:00,116.8,high,40,3,Hardware,Portal,Agent_Ali,T1,No,,,No
TKT-0333,30/05/2024 13:23,35.6,03/06/2024 19:05,101.7,low,45,7,Billing,Email,Agent_Jones,T1,No,,,No
TKT-0487,2024-02-13 16:41:00,26.3,14/02/2024 02:35,9.9,low,45,7,Account,Chat,Agent_Chen,T2,No,,,No
TKT-0217,07/09/2024 09:27,28.9,2024-09-12 01:39:00,112.2,medium,40,3,Network,Email,Agent_Patel,T1,No,,,No
TKT-0090,02-05-2024 17:04:00,10.9,09/02/2024 17:52,96.8,medium,40,3,Billing,Email,Agent_Kumar,T1,No,,,No
TKT-0172,16/08/2024 10:47,32.5,2024-08-18 13:17:00,50.5,low,45,7,Network,Portal,Agent_Brown,T1,No,,,Yes
TKT-0498,06-07-2024 18:44:00,17.1,2024-06-09 22:08:00,51.4,low,45,7,Billing,Chat,Agent_Brown,T2,No,,,No
TKT-0309,05-16-2024 08:18:00,6.1,17/05/2024 13:30,29.2,high,40,3,Technical,Email,Agent_Ali,T2,No,,,Yes
TKT-0496,2024-11-04 10:21:00,10.3,06/11/2024 00:45,38.4,medium,40,3,Billing,Phone,Agent_Ali,T1,No,,,No
TKT-0145,06-02-2024 16:19:00,83.1,11/06/2024 15:07,214.8,low,45,7,Billing,Email,Agent_Patel,T1,No,,,No
TKT-0378,08-20-2024 13:42:00,26.8,29/08/2024 08:18,210.6,low,45,7,Account,Chat,Agent_Sharma,T1,Yes,Customer Requested,T1>T2,No
TKT-0464,24/07/2024 16:05,92.3,26/07/2024 07:59,39.9,medium,40,3,Technical,Phone,Agent_Kumar,T3,No,,,No
TKT-0347,07-02-2024 17:18:00,54.2,03/07/2024 10:42,17.4,medium,40,3,Billing,Email,Agent_Chen,T1,No,,,No
TKT-0009,2024-05-22 08:48:00,26.0,24/05/2024 01:30,40.7,medium,40,3,Hardware,Email,Agent_Kumar,T1,Yes,Manager,T2>T3,No
TKT-0279,09/08/2024 13:38,32.3,08-12-2024 08:08:00,66.5,high,40,3,Account,Email,Agent_Sharma,T1,No,,,Yes
TKT-0276,18/12/2024 12:44,13.1,21/12/2024 09:14,68.5,medium,40,3,Billing,Email,Agent_Chen,T1,Yes,Manager,T1>T2,No
TKT-0197,16/06/2024 13:48,36.6,16/06/2024 23:54,10.1,high,40,3,Technical,Portal,Agent_Sharma,T1,No,,,No
TKT-0263,2024-05-15 18:05:00,14.4,21/05/2024 12:53,138.8,low,45,7,Billing,Email,Agent_Smith,T3,No,,,No
TKT-0044,2024-01-02 12:32:00,,02/01/2024 14:38,2.1,critical,15,1,Account,Chat,Agent_Ali,T2,No,,,No
TKT-0099,01-05-2024 15:39:00,75.6,12/01/2024 18:33,170.9,low,45,7,Billing,Phone,Agent_Jones,T2,No,,,No
TKT-0485,2024-08-31 16:09:00,,2024-09-04 01:51:00,81.7,medium,40,3,Account,Email,Agent_Chen,T2,No,,,No
TKT-0426,06-29-2024 09:36:00,89.7,,,medium,40,3,Billing,Portal,Agent_Jones,T2,No,,,No
TKT-0184,2024-10-21 14:30:00,28.2,10-24-2024 07:24:00,64.9,high,40,3,Account,Portal,Agent_Sharma,T2,No,,,No
TKT-0323,2024-12-20 14:41:00,31.9,12-23-2024 09:29:00,66.8,high,40,3,Technical,Portal,Agent_Brown,T1,No,,,No
TKT-0101,16/09/2024 12:08,34.9,2024-09-25 09:26:00,213.3,low,45,7,Billing,Email,Agent_Patel,T1,No,,,No
TKT-0421,2024-07-09 10:35:00,20.0,11/07/2024 09:29,46.9,high,40,3,Network,Email,Agent_Patel,T2,No,,,No
TKT-0223,14/02/2024 12:56,12.9,2024-02-21 19:02:00,174.1,low,45,7,Billing,Chat,Agent_Jones,T1,No,,,No
TKT-0465,07/06/2024 13:14,7.1,08/06/2024 06:26,17.2,critical,15,1,Technical,Portal,Agent_Kumar,T2,Yes,Customer Requested,T2>T3,Yes
TKT-0445,06/11/2024 15:26,8.2,2024-11-08 16:14:00,48.8,high,40,3,Billing,Portal,Agent_Chen,T1,No,,,No
TKT-0226,10/09/2024 13:11,22.4,17/09/2024 08:23,163.2,low,45,7,Network,Chat,Agent_Kumar,T3,No,,,No
TKT-0362,25/03/2024 12:58,5.9,2024-03-26 22:58:00,34.0,medium,40,3,Technical,Email,Agent_Chen,T1,No,,,Yes
TKT-0124,2024-05-01 10:51:00,,,,low,45,7,Technical,Phone,Agent_Patel,T2,No,,,No
TKT-0159,2024-03-16 08:02:00,33.1,18/03/2024 08:20,48.3,low,45,7,Account,Portal,Agent_Sharma,T1,Yes,Manager,T2>T3,No
TKT-0495,05-25-2024 12:46:00,,05-27-2024 10:16:00,45.5,medium,40,3,Technical,Chat,Agent_Brown,T2,No,,,No
TKT-0470,05-11-2024 11:11:00,,13/05/2024 23:29,60.3,critical,15,1,Technical,Phone,Agent_Ali,T1,No,,,Yes
TKT-0359,2024-06-16 14:11:00,7.9,,,critical,15,1,Account,Email,Agent_Jones,T1,No,,,No
TKT-0287,2024-12-09 09:54:00,30.1,,,medium,40,3,Account,Email,Agent_Chen,T1,No,,,No
TKT-0130,2024-06-28 12:52:00,8.1,2024-07-01 05:40:00,64.8,medium,40,3,Technical,Email,Agent_Kumar,T1,Yes,Manager,T2>T3,No
TKT-0158,2024-12-10 12:14:00,47.8,11/12/2024 00:38,12.4,high,40,3,Technical,Portal,Agent_Brown,T1,No,,,No
TKT-0442,03-20-2024 10:48:00,8.6,21/03/2024 04:18,17.5,critical,15,1,Account,Email,Agent_Ali,T3,Yes,Customer Requested,T1>T2,No
TKT-0096,09/06/2024 11:16,21.3,10/06/2024 22:46,35.5,medium,40,3,Technical,Email,Agent_Kumar,T1,No,,,No
TKT-0413,2024-11-29 16:46:00,10.9,30/11/2024 10:46,18.0,critical,15,1,Account,Email,Agent_Chen,T1,Yes,Internal,T2>T3,No
TKT-0308,05-21-2024 14:21:00,,05-24-2024 19:27:00,77.1,medium,40,3,Hardware,Phone,Agent_Smith,T1,Yes,Customer Requested,T2>T3,No
TKT-0075,04/08/2024 10:17,17.3,08/08/2024 10:17,96.0,high,40,3,Network,Portal,Agent_Brown,T2,No,,,No
TKT-0215,12-04-2024 13:04:00,12.5,06/12/2024 10:10,45.1,high,40,3,Technical,Phone,Agent_Ali,T1,Yes,Customer Requested,T1>T3,No
TKT-0060,06/05/2024 11:04,20.0,05-08-2024 00:52:00,37.8,medium,40,3,Account,Chat,Agent_Sharma,T1,No,,,No
TKT-0500,13/02/2024 12:35,6.0,16/02/2024 08:59,68.4,critical,15,1,Technical,Portal,Agent_Sharma,T1,No,,,No
